n, t_compresion, t_descompresion
--------------------------------
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.40625, 
0.40625, 
0.40625, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.40625, 
0.40625, 
0.40625, 
0.421875, 
0.40625, 
0.421875, 
0.40625, 
0.40625, 
0.40625, 
0.40625, 
0.40625, 
0.421875, 
0.40625, 
0.421875, 
0.4375, 
0.4375, 
0.421875, 
0.40625, 
0.40625, 
0.421875, 
0.40625, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.4375, 
0.4375, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.4375, 
0.421875, 
0.421875, 
0.390625, 
0.453125, 
0.421875, 
0.421875, 
0.40625, 
0.40625, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.4375, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.390625, 
0.40625, 
0.4375, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.4375, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.4375, 
0.4375, 
0.453125, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.4375, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.4375, 
0.421875, 
0.421875, 
0.421875, 
0.390625, 
0.40625, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.4375, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.390625, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.390625, 
0.40625, 
0.421875, 
0.4375, 
0.4375, 
0.4375, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.390625, 
0.40625, 
0.40625, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.4375, 
0.421875, 
0.421875, 
0.4375, 
0.421875, 
0.4375, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.4375, 
0.40625, 
0.421875, 
0.40625, 
0.40625, 
0.40625, 
0.40625, 
0.40625, 
0.421875, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.40625, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.390625, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.40625, 
0.421875, 
0.40625, 
0.421875, 
0.4375, 
0.421875, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.4375, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.390625, 
0.40625, 
0.40625, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
0.40625, 
0.421875, 
0.4375, 
0.40625, 
0.40625, 
0.40625, 
0.421875, 
0.40625, 
0.421875, 
0.40625, 
0.40625, 
0.390625, 
0.421875, 
0.421875, 
0.421875, 
0.421875, 
